agegroup,gender,education,country,ethnicity,neuroticism,extraversion,opentoexperience,agreeableness,conscientiousness,impulsiveness,sensation,caffeine,chocolate,nicotine,alcohol,amphetamine,amylnitrite,benzodiaz,cannabis,cocaine,crack,ecstasy,heroin,ketamine,legalhighs,LSD,methadone,mushrooms,volatiles,any,severity,UseLevel
18-24,female,0.45468,UK,White,-0.14882,-0.94779,-1.42424,-0.45321,0.25953,0.52975,-0.84637,4.0,5.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,4.0,low
18-24,male,-0.61113,USA,White,-0.92104,1.74091,0.58331,-1.34289,1.13407,0.52975,1.2247,6.0,5.0,6.0,4.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,TRUE,25.0,high
25-34,female,1.16365,UK,White,1.02119,0.96248,-0.97631,-0.60633,-0.14277,-1.37983,-1.18084,6.0,6.0,5.0,5.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TRUE,14.0,high
25-34,male,1.16365,UK,White,-1.55078,1.11406,-0.01928,-0.01729,1.46191,0.19268,0.07987,6.0,5.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,TRUE,10.0,low
35-44,female,0.45468,UK,White,-0.05188,0.96248,-1.11902,0.94156,1.63088,-1.37983,-2.07848,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,female,-1.22751,USA,White,1.02119,1.45421,2.44904,-0.45321,1.13407,0.52975,0.7654,6.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,TRUE,22.0,high
18-24,male,-0.61113,USA,White,-0.14882,1.11406,1.43533,-0.30172,-0.00665,0.19268,0.7654,5.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,TRUE,35.0,high
25-34,female,0.45468,UK,White,-0.14882,-0.30033,-0.84732,-0.30172,1.46191,-0.71126,-0.21575,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,3.0,low
35-44,female,1.16365,UK,White,-0.46725,-0.57545,0.14143,0.59042,0.7583,-1.37983,-2.07848,6.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
18-24,male,0.45468,UK,White,1.13281,1.11406,1.06238,-0.15487,-0.52745,1.86203,1.92173,5.0,6.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,TRUE,34.0,high
18-24,male,0.45468,USA,White,0.41667,-1.92173,0.88309,-0.15487,-0.52745,0.19268,-0.52593,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,TRUE,10.0,low
35-44,female,-0.61113,UK,White,0.31287,0.80523,-0.31776,1.2861,0.7583,-1.37983,-1.18084,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
18-24,male,-0.61113,UK,White,-0.79151,1.11406,-0.01928,1.2861,2.04506,0.88113,0.40148,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,TRUE,24.0,high
25-34,male,-0.61113,RepublicofIreland,White,-1.55078,2.127,0.88309,-0.01729,0.93949,-0.21712,0.40148,6.0,5.0,6.0,5.0,6.0,2.0,6.0,5.0,4.0,2.0,4.0,3.0,5.0,0.0,3.0,3.0,4.0,1.0,TRUE,54.0,high
18-24,male,-0.61113,USA,White,-0.14882,0.47617,0.88309,-0.76096,0.25953,-0.71126,-0.21575,6.0,6.0,4.0,5.0,2.0,0.0,3.0,6.0,4.0,0.0,2.0,0.0,3.0,4.0,2.0,2.0,3.0,0.0,TRUE,35.0,high
25-34,female,1.16365,UK,White,0.31287,0.00332,-0.31776,0.59042,0.41594,0.19268,0.7654,6.0,5.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,5.0,low
35-44,male,-2.43591,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,-1.37983,-0.84637,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,TRUE,31.0,high
25-34,female,-0.05921,UK,White,1.13281,0.00332,-0.17779,-0.76096,-0.40581,0.19268,-0.21575,3.0,6.0,6.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TRUE,12.0,low
18-24,male,-1.22751,Canada,White,0.22393,0.32197,0.14143,-0.91699,-0.27607,-0.71126,0.07987,6.0,0.0,6.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,TRUE,23.0,high
35-44,female,0.45468,UK,Mixed-White/Asian,-1.05308,0.80523,-0.71727,1.2861,0.93949,-0.21712,-0.84637,6.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
25-34,female,-0.61113,USA,White,0.52135,-0.43999,0.14143,-1.07533,-0.27607,-1.37983,0.07987,6.0,4.0,1.0,6.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,TRUE,13.0,low
35-44,female,1.98437,USA,White,-0.24649,-0.15487,0.7233,0.13136,2.33337,-1.37983,-1.54858,6.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,5.0,2.0,0.0,TRUE,29.0,high
18-24,male,-0.61113,USA,White,-0.58016,-0.15487,-0.84732,1.11406,0.41594,-1.37983,-0.84637,3.0,4.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,TRUE,21.0,high
25-34,female,1.16365,Other,White,0.31287,1.11406,-0.84732,-1.07533,0.7583,-0.21712,-0.52593,6.0,6.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TRUE,8.0,low
45-54,female,-0.05921,Canada,White,-0.58016,0.32197,1.06238,-1.772,0.41594,1.86203,0.40148,6.0,6.0,6.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,TRUE,20.0,high
35-44,female,1.98437,UK,White,0.52135,-0.30033,1.65653,0.28783,1.13407,-1.37983,-2.07848,6.0,6.0,5.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TRUE,11.0,low
35-44,male,0.45468,UK,White,-1.1943,0.16767,-0.17779,-0.30172,-0.40581,-0.21712,-0.52593,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,TRUE,24.0,high
25-34,female,0.45468,UK,White,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,6.0,6.0,1.0,5.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,11.0,low
35-44,male,-0.05921,Other,White,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,5.0,6.0,1.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,TRUE,14.0,high
25-34,female,1.16365,UK,White,0.31287,0.63779,0.7233,1.61108,0.25953,-0.21712,1.92173,6.0,6.0,3.0,5.0,2.0,3.0,3.0,5.0,4.0,0.0,5.0,0.0,4.0,3.0,4.0,0.0,3.0,0.0,TRUE,39.0,high
18-24,male,-1.22751,USA,White,0.73545,0.00332,1.43533,0.59042,-1.64101,0.52975,0.40148,6.0,5.0,6.0,5.0,3.0,3.0,3.0,6.0,2.0,3.0,3.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,TRUE,44.0,high
25-34,male,-0.05921,Other,White,0.52135,-0.57545,0.14143,-0.15487,-0.78155,0.52975,1.2247,6.0,6.0,6.0,2.0,3.0,2.0,6.0,6.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,TRUE,37.0,high
55-64,male,-1.22751,UK,White,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,6.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
18-24,female,0.45468,USA,White,-0.67825,0.32197,0.44585,0.76096,0.12331,1.29221,1.92173,6.0,6.0,3.0,5.0,3.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,TRUE,28.0,high
35-44,male,0.45468,UK,White,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,6.0,5.0,2.0,6.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,TRUE,19.0,high
45-54,female,-1.7379,UK,White,-0.46725,0.32197,-1.55521,1.11406,-0.78155,-1.37983,-0.84637,6.0,5.0,6.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,13.0,low
35-44,female,-1.22751,USA,White,0.31287,-1.23177,-1.11902,-1.772,-1.38502,0.19268,0.40148,5.0,5.0,3.0,4.0,5.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,TRUE,28.0,high
45-54,female,-0.61113,USA,White,-0.92104,-0.43999,0.88309,3.15735,-0.00665,-1.37983,-1.18084,6.0,6.0,6.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,TRUE,19.0,high
25-34,female,-1.43719,UK,White,-0.34799,0.47617,0.7233,0.43852,1.30612,0.88113,0.40148,6.0,5.0,4.0,5.0,2.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TRUE,16.0,high
18-24,male,-0.61113,USA,Other,-0.92104,1.2861,-0.45174,-0.60633,-0.00665,0.88113,1.2247,6.0,6.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,TRUE,9.0,low
35-44,male,-0.05921,Canada,White,0.13606,0.47617,0.29338,-0.60633,0.7583,0.52975,0.40148,6.0,4.0,6.0,6.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,6.0,2.0,3.0,2.0,1.0,TRUE,42.0,high
18-24,female,-0.05921,Canada,White,0.52135,-0.43999,-1.55521,1.11406,-0.65253,0.19268,-0.52593,5.0,6.0,6.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TRUE,21.0,high
25-34,female,0.45468,UK,White,0.13606,1.11406,-0.97631,0.43852,-0.27607,-0.71126,-0.52593,3.0,6.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,8.0,low
35-44,female,-1.7379,UK,White,-0.34799,0.96248,-0.71727,0.43852,1.13407,-0.71126,-0.84637,6.0,6.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,TRUE,8.0,low
18-24,female,0.45468,UK,White,-0.24649,0.16767,-0.71727,1.61108,1.13407,0.19268,-1.18084,5.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,4.0,low
25-34,male,0.45468,UK,White,-0.05188,-0.57545,1.24033,1.2861,-0.52745,0.19268,0.7654,6.0,5.0,6.0,6.0,1.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,TRUE,27.0,high
25-34,female,1.16365,Australia,White,0.41667,-0.43999,1.43533,1.45039,0.25953,0.19268,0.40148,6.0,5.0,3.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,7.0,low
25-34,male,-0.61113,USA,White,-0.34799,-2.44904,-1.27553,-0.76096,-0.27607,0.19268,0.7654,6.0,4.0,1.0,2.0,5.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,6.0,2.0,0.0,TRUE,30.0,high
45-54,female,-1.7379,UK,White,0.22393,1.93886,-1.11902,1.2861,-0.14277,1.86203,0.7654,2.0,4.0,3.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,7.0,low
18-24,female,1.16365,UK,White,0.62967,1.45421,-0.17779,2.46262,-0.52745,1.29221,0.40148,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE,0.0,low
25-34,male,-0.61113,USA,White,-0.58016,1.45421,1.65653,1.61108,0.58489,0.19268,1.2247,6.0,5.0,6.0,4.0,1.0,0.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,TRUE,25.0,high
25-34,male,1.98437,USA,White,0.52135,1.58487,2.90161,1.2861,1.81175,0.52975,1.92173,6.0,5.0,6.0,6.0,0.0,0.0,4.0,6.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,TRUE,30.0,high
18-24,male,-0.61113,USA,White,0.91093,0.00332,1.06238,-1.21213,-1.5184,1.29221,0.40148,6.0,5.0,6.0,6.0,3.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,TRUE,34.0,high
45-54,female,-0.05921,UK,White,0.31287,0.63779,-1.55521,0.28783,0.93949,0.19268,0.07987,6.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,2.0,low
45-54,female,1.16365,UK,White,-0.34799,0.00332,-0.45174,0.28783,0.12331,-1.37983,-0.52593,6.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TRUE,1.0,low
18-24,female,-0.61113,USA,White,-1.32828,2.32338,-2.39883,-1.47955,-1.38502,1.86203,1.2247,6.0,5.0,0.0,6.0,6.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,TRUE,28.0,high
25-34,male,1.16365,Other,White,-1.1943,0.16767,0.29338,-0.91699,-0.89891,0.19268,1.2247,5.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,TRUE,27.0,high
18-24,female,0.45468,Other,White,-0.79151,-1.09207,1.88511,0.28783,3.00537,-0.21712,1.2247,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,0.0,0.0,4.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,TRUE,35.0,high
25-34,male,-0.61113,USA,White,0.82562,-1.09207,0.44585,-0.60633,1.13407,0.88113,-0.21575,4.0,5.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,TRUE,24.0,high
